Los Alamos National Laboratory Poisson Superfish
Program SF7 written by James H. Billen and Lloyd M. Young

The original Poisson Superfish codes were developed
by Ron F. Holsinger in collaboration with Klaus Halbach.
These programs are provided as a service to the accelerator
community by the Los Alamos Accelerator Code Group (LAACG).

(c) Copyright 1985-2005, by the Regents of the University of California.        
This software was produced under U. S. Government contract W-7405-ENG-36        
by Los Alamos National Laboratory, which is operated by the University          
of California for the U. S. Department of Energy.  Neither the Government       
nor the University makes any warranty, express or implied, or assumes           
any liability or responsibility for its use, or represents that use of          
this software would not infringe privately owned rights.                        
Unpublished - rights reserved under Copyright Laws of the United States.        


Program SF7  7.16  released 5-9-2005  

Program file: C:\LANL\SF7.EXE
SF.INI file: C:\LANL\SF.INI  7-08-2005   9:09:06
Solution file PAR.T35.
Memory used for PAR.T35 arrays:       4.179 M
Reading keyword commands and data from file:
PAR.IN7

Electromagnetic fields for a rectangular area with corners at:
(Zmin,Rmin) = (-21.001,0.0)
(Zmax,Rmax) = (23.81233,60.8499985)
Z and R increments:    94   122

      Z             R              Ez            Er            |E|           H 
    (cm)          (cm)           (MV/m)        (MV/m)        (MV/m)        (A/m) 
  -13.8499      0.498770      1.184384E+00  8.299243E-03  1.184413E+00  3.303358E+01
  -13.3732      0.498770      1.169451E+00  7.382711E-03  1.169474E+00  3.261661E+01
  -12.8965      0.498770      1.156169E+00  6.574638E-03  1.156188E+00  3.224534E+01
  -12.4197      0.498770      1.144339E+00  5.857779E-03  1.144354E+00  3.191466E+01
  -11.9430      0.498770      1.133784E+00  5.225449E-03  1.133796E+00  3.161997E+01
  -11.4662      0.498770      1.124370E+00  4.667601E-03  1.124380E+00  3.135683E+01
  -10.9895      0.498770      1.115956E+00  4.174162E-03  1.115963E+00  3.112163E+01
  -10.5128      0.498770      1.108416E+00  3.741866E-03  1.108422E+00  3.091113E+01
  -10.0360      0.498770      1.101657E+00  3.360416E-03  1.101662E+00  3.072222E+01
  -9.55930      0.498770      1.095575E+00  3.025580E-03  1.095579E+00  3.055241E+01
  -9.08256      0.498770      1.090094E+00  2.732716E-03  1.090098E+00  3.039923E+01
  -8.60582      0.498770      1.085137E+00  2.475820E-03  1.085139E+00  3.026067E+01
  -8.12909      0.498770      1.080632E+00  2.252912E-03  1.080634E+00  3.013491E+01
  -7.65235      0.498770      1.076527E+00  2.058937E-03  1.076529E+00  3.002020E+01
  -7.17561      0.498770      1.072764E+00  1.891143E-03  1.072766E+00  2.991514E+01
  -6.69887      0.498770      1.069300E+00  1.747458E-03  1.069301E+00  2.981833E+01
  -6.22214      0.498770      1.066089E+00  1.624378E-03  1.066090E+00  2.972861E+01
  -5.74540      0.498770      1.063091E+00  1.520798E-03  1.063092E+00  2.964495E+01
  -5.26866      0.498770      1.060277E+00  1.434171E-03  1.060278E+00  2.956631E+01
  -4.79192      0.498770      1.057612E+00  1.362614E-03  1.057613E+00  2.949188E+01
  -4.31519      0.498770      1.055068E+00  1.305822E-03  1.055069E+00  2.942087E+01
  -3.83845      0.498770      1.052621E+00  1.261125E-03  1.052622E+00  2.935254E+01
  -3.36171      0.498770      1.050248E+00  1.228167E-03  1.050248E+00  2.928630E+01
  -2.88497      0.498770      1.047927E+00  1.205595E-03  1.047928E+00  2.922151E+01
  -2.40824      0.498770      1.045641E+00  1.192330E-03  1.045642E+00  2.915767E+01
  -1.93150      0.498770      1.043369E+00  1.188307E-03  1.043370E+00  2.909429E+01
  -1.45476      0.498770      1.041099E+00  1.191978E-03  1.041100E+00  2.903091E+01
 -0.978023      0.498770      1.038813E+00  1.203230E-03  1.038814E+00  2.896714E+01
 -0.501285      0.498770      1.036500E+00  1.221298E-03  1.036501E+00  2.890257E+01
 -2.454766E-02  0.498770      1.034146E+00  1.245587E-03  1.034146E+00  2.883687E+01
  0.452190      0.498770      1.031738E+00  1.276194E-03  1.031739E+00  2.876971E+01
  0.928927      0.498770      1.029268E+00  1.312158E-03  1.029268E+00  2.870076E+01
   1.40567      0.498770      1.026723E+00  1.353282E-03  1.026724E+00  2.862976E+01
   1.88240      0.498770      1.024094E+00  1.399905E-03  1.024095E+00  2.855642E+01
   2.35914      0.498770      1.021372E+00  1.450941E-03  1.021373E+00  2.848048E+01
   2.83588      0.498770      1.018547E+00  1.506863E-03  1.018548E+00  2.840169E+01
   3.31262      0.498770      1.015612E+00  1.567050E-03  1.015613E+00  2.831980E+01
   3.78935      0.498770      1.012557E+00  1.631472E-03  1.012558E+00  2.823458E+01
   4.26609      0.498770      1.009374E+00  1.700547E-03  1.009376E+00  2.814581E+01
   4.74283      0.498770      1.006056E+00  1.773518E-03  1.006058E+00  2.805325E+01
   5.21957      0.498770      1.002594E+00  1.850900E-03  1.002596E+00  2.795669E+01
   5.69630      0.498770      9.989809E-01  1.932343E-03  9.989828E-01  2.785590E+01
   6.17304      0.498770      9.952078E-01  2.017931E-03  9.952098E-01  2.775065E+01
   6.64978      0.498770      9.912662E-01  2.108185E-03  9.912685E-01  2.764072E+01
   7.12652      0.498770      9.871488E-01  2.202630E-03  9.871512E-01  2.752586E+01
   7.60325      0.498770      9.828464E-01  2.301561E-03  9.828491E-01  2.740585E+01
   8.07999      0.498770      9.783494E-01  2.405759E-03  9.783524E-01  2.728043E+01
   8.55673      0.498770      9.736497E-01  2.514607E-03  9.736530E-01  2.714933E+01
   9.03347      0.498770      9.687362E-01  2.629055E-03  9.687397E-01  2.701229E+01
   9.51020      0.498770      9.635995E-01  2.748992E-03  9.636034E-01  2.686900E+01
   9.98694      0.498770      9.582280E-01  2.874835E-03  9.582323E-01  2.671916E+01
   10.4637      0.498770      9.526088E-01  3.007642E-03  9.526135E-01  2.656244E+01
   10.9404      0.498770      9.467305E-01  3.147142E-03  9.467358E-01  2.639846E+01
   11.4172      0.498770      9.405777E-01  3.294416E-03  9.405834E-01  2.622685E+01
   11.8939      0.498770      9.341367E-01  3.449931E-03  9.341431E-01  2.604717E+01
   12.3706      0.498770      9.273904E-01  3.614193E-03  9.273975E-01  2.585897E+01
   12.8474      0.498770      9.203199E-01  3.788588E-03  9.203277E-01  2.566176E+01
   13.3241      0.498770      9.129077E-01  3.973326E-03  9.129164E-01  2.545498E+01
   13.8008      0.498770      9.051321E-01  4.169192E-03  9.051417E-01  2.523805E+01
   14.2776      0.498770      8.969687E-01  4.378111E-03  8.969794E-01  2.501036E+01
   14.7543      0.498770      8.883960E-01  4.599671E-03  8.884079E-01  2.477119E+01
   15.2311      0.498770      8.793850E-01  4.835453E-03  8.793983E-01  2.451985E+01
   15.7078      0.498770      8.699111E-01  5.086017E-03  8.699260E-01  2.425554E+01
   16.1845      0.498770      8.599442E-01  5.351521E-03  8.599608E-01  2.397748E+01
   16.6613      0.498770      8.494526E-01  5.633265E-03  8.494712E-01  2.368485E+01
   17.1380      0.498770      8.384094E-01  5.930374E-03  8.384304E-01  2.337678E+01
