#BLTrackFile NTuple/Z15050
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-134.738 170.016 15050 -128.575 157.81 333.659 60.4464 211 67483 1 0 1
39.0983 100.383 15050 32.1193 81.976 382.665 65.435 211 67591 1 0 1
5.33116 17.9524 15050 7.4347 -29.9796 407.634 75.2005 -13 68052 1001 1 1
-155.395 -28.9237 15050 -182.003 -28.3665 346.519 65.2792 211 68924 1 0 1
-200.017 157.813 15050 -120.038 87.4111 196.544 65.0603 -13 70349 1001 1 1
-250.634 105.575 15050 -220.372 95.6753 294.418 69.4356 211 71870 1 0 1
45.9111 -87.9411 15050 45.7197 -82.5951 346.393 53.9137 -13 72022 1001 1 1
-215.491 151.943 15050 -140.972 106.54 220.671 103.745 -13 72631 1001 1 1
-60.6492 -109.409 15050 -121.558 -230.82 296.193 122.675 211 72664 1 0 1
-241.703 191.146 15050 -202.606 158.785 285.721 100.456 211 73925 1 0 1
-112.131 244.851 15050 -93.1718 217.916 301.524 66.7377 211 74021 1 0 1
19.8776 58.4418 15050 -1.4345 27.7123 376.857 90.2741 -13 74150 1001 1 1
9.43488 135.514 15050 10.8851 107.032 259.341 59.9506 -13 74523 1001 1 1
14.1123 -30.1457 15050 16.0345 -25.4756 246.749 54.2715 -13 75310 1001 1 1
4.19222 -14.469 15050 20.6786 -28.1427 402.634 53.9181 -13 77808 1001 1 1
-350.6 79.4378 15050 -189.353 37.9779 162.018 86.452 -13 77971 1001 1 1
-262.879 65.8763 15050 -74.6354 18.5883 113.485 86.1782 14 77971 1002 1 1
-10.2047 -11.5636 15050 -30.1698 -44.6848 390.874 62.4858 -13 78021 1001 1 1
-33.8965 147.002 15050 -29.67 165.339 378.87 54.4114 -13 78800 1001 1 1
-41.992 -64.1652 15050 -61.1146 -115.351 360.511 92.0224 -13 79469 1001 1 1
-280.007 1.80207 15050 -261.77 1.11239 295.938 81.6244 -13 79875 1001 1 1
-157.67 166.963 15050 -82.3013 85.7017 169.564 67.1988 -13 79886 1001 1 1
26.552 84.7643 15050 16.7592 67.4701 389.674 68.5582 211 80591 1 0 1
168.561 222.82 15050 154.59 208.142 298.368 77.5088 -13 80777 1001 1 1
-146.364 114.668 15050 -145.967 113.506 384.287 57.4443 -13 80853 1001 1 1
1.2285 124.059 15050 9.88532 99.3977 383.092 142.182 -13 81215 1001 1 1
4.8498 0.0489823 15050 -21.6253 -26.6495 392.673 75.6453 211 82437 1 0 1
1.21227 -7.31718 15050 0.232658 -8.97411 382.346 52.264 -13 82472 1001 1 1
-87.3543 19.4609 15050 -104.987 -8.52135 289.682 189.492 -13 82944 1001 1 1
-307.892 -36.333 15050 -213.137 -32.3705 215.624 84.4343 -13 83044 1001 1 1
-239.265 163.963 15050 -207.91 142.897 294.419 73.0421 -13 83573 1001 1 1
-167.225 105.576 15050 -170.947 111.502 328.005 67.0136 211 83826 1 0 1
28.5522 138.61 15050 25.0537 117.795 372.793 67.965 211 84752 1 0 1
-65.5759 -16.4723 15050 -113.638 -19.4682 375.717 65.9739 211 85769 1 0 1
0.12759 -42.8137 15050 -14.5648 -57.818 349.92 57.6779 -13 85988 1001 1 1
-24.1444 -12.1161 15050 -60.5105 -40.5027 384.386 92.85 211 86455 1 0 1
-33.7484 -39.2505 15050 -59.2248 -65.2257 388.349 63.1672 -13 86699 1001 1 1
-56.5606 -51.7047 15050 -171.297 -148.945 312.445 85.6441 211 87397 1 0 1
28.232 74.5871 15050 14.0422 42.7032 276.076 80.1024 -13 87600 1001 1 1
18.1096 9.19562 15050 8.27959 8.35056 176.088 81.395 211 87961 1 0 1
-191.548 -8.79991 15050 -187.481 -10.8261 290.15 125.558 -13 88194 1001 1 1
-22.9684 64.7309 15050 -21.6433 41.4241 434.757 59.9905 -13 88631 1001 1 1
-54.0924 -24.2771 15050 -86.9516 -44.6873 377.128 82.983 211 89433 1 0 1
-54.8364 -30.2677 15050 -85.3026 -42.5026 379.491 61.2027 211 89548 1 0 1
-175.498 -91.998 15050 -193.07 -100.009 329.813 118.067 211 89772 1 0 1
-314.466 23.8911 15050 -158.411 4.82903 159.863 67.0845 -13 89846 1001 1 1
73.8828 87.5473 15050 64.735 63.5355 381.109 75.5667 211 91596 1 0 1
-18.1573 96.2125 15050 -11.8954 79.012 402.125 62.4559 -13 92235 1001 1 1
-104.564 70.1753 15050 -81.4315 27.6381 209.076 84.6886 -13 92939 1001 1 1
-54.8174 126.895 15050 -62.3541 144.906 376.567 56.1832 -13 93291 1001 1 1
126.05 35.6272 15050 91.1662 25.6713 329.811 143.654 -13 93776 1001 1 1
25.8003 131.753 15050 28.3205 149.751 359.459 54.8528 -13 94673 1001 1 1
18.3985 22.1674 15050 6.30401 -2.38722 387.871 58.3603 -13 95022 1001 1 1
-16.1404 -419.01 15050 65.6376 -341.735 126.859 64.0464 211 95681 1 0 1
13.5467 188.61 15050 14.0878 198.424 346.01 55.7583 -13 96880 1001 1 1
93.5007 119.307 15050 75.7987 93.3869 250.348 57.5734 -13 97217 1001 1 1
-283.028 51.5193 15050 -166.197 25.4438 191.347 75.373 -13 97826 1001 1 1
-119.859 -123.41 15050 -138.106 -135.525 334.687 87.3377 -13 99895 1001 1 1
-154.659 -23.0504 15050 -180.836 -22.3105 347.187 74.1537 211 100786 1 0 1
-49.441 119.019 15050 -46.9845 121.199 307.272 58.5428 -13 100910 1001 1 1
-160.504 165.466 15050 -148.949 163.408 315.832 63.4444 211 101066 1 0 1
114.692 -64.4756 15050 87.7603 -58.7613 368.452 77.75 -13 101158 1001 1 1
50.3242 -25.0189 15050 34.3438 -4.22193 64.0948 89.0439 22 102695 1006 1004 1
232.77 -67.082 15050 54.5049 -10.5463 35.0274 89.4839 22 102695 1009 1008 1
-514.27 -590.224 15050 -14.369 -17.4593 6.44277 90.923 11 102695 1011 1010 1
-665.844 -722.503 15050 -18.1519 -20.9053 5.41934 91.5661 22 102695 1012 1011 1
19.8575 126.199 15050 18.8684 79.681 298.143 178.607 -13 102770 1001 1 1
